ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
47,9.6e-09,1.20447,531441,8e+08,3.23623e-19,3.23646e-19,3.23918e-19,7.12696e-17,68921,1e+08,2.17966e-18,2.17966e-18,2.17967e-18,1.22254e-13,7.60173e-11,7.61396e-11
48,9.8e-09,1.22645,531441,8e+08,3.24376e-19,3.24376e-19,3.24246e-19,7.43409e-17,68921,1e+08,2.22603e-18,2.22603e-18,2.22603e-18,1.27501e-13,7.6012e-11,7.61396e-11
49,1e-08,1.24822,531441,8e+08,4.21948e-19,4.21939e-19,4.21831e-19,7.74781e-17,68921,1e+08,2.2724e-18,2.2724e-18,2.2724e-18,1.32857e-13,7.60066e-11,7.61396e-11
50,1.02e-08,1.26967,531441,8e+08,4.22235e-19,4.22226e-19,4.22118e-19,8.06587e-17,68921,1e+08,2.31876e-18,2.31876e-18,2.31876e-18,1.38323e-13,7.60011e-11,7.61395e-11
51,1.04e-08,1.29142,531441,8e+08,4.23126e-19,4.23128e-19,4.23232e-19,8.39052e-17,68921,1e+08,2.36513e-18,2.36513e-18,2.36513e-18,1.43899e-13,7.59955e-11,7.61395e-11
52,1.06e-08,1.31315,531441,8e+08,4.23859e-19,4.23839e-19,4.2355e-19,8.72177e-17,68921,1e+08,2.41149e-18,2.41149e-18,2.41149e-18,1.49584e-13,7.59898e-11,7.61395e-11
53,1.08e-08,1.33487,531441,8e+08,4.2475e-19,4.24741e-19,4.24744e-19,9.0596e-17,68921,1e+08,2.45786e-18,2.45786e-18,2.45786e-18,1.55378e-13,7.5984e-11,7.61395e-11
54,1.1e-08,1.35609,531441,8e+08,4.25036e-19,4.25027e-19,4.2503e-19,9.40402e-17,68921,1e+08,2.50422e-18,2.50422e-18,2.50422e-18,1.61282e-13,7.59781e-11,7.61395e-11
55,1.12e-08,1.37815,531441,8e+08,4.25926e-19,4.25928e-19,4.26143e-19,9.75504e-17,68921,1e+08,2.55058e-18,2.55058e-18,2.55058e-18,1.67294e-13,7.59721e-11,7.61395e-11
56,1.14e-08,1.39969,531441,8e+08,4.26674e-19,4.26654e-19,4.26464e-19,1.01126e-16,68921,1e+08,2.59695e-18,2.59695e-18,2.59695e-18,1.73416e-13,7.59659e-11,7.61394e-11
57,1.16e-08,1.42156,531441,8e+08,4.27592e-19,4.27604e-19,4.27659e-19,1.04768e-16,68921,1e+08,2.64331e-18,2.64331e-18,2.64331e-18,1.79647e-13,7.59597e-11,7.61394e-11
58,1.18e-08,1.44368,531441,8e+08,4.27878e-19,4.2789e-19,4.27945e-19,1.08476e-16,68921,1e+08,2.68967e-18,2.68967e-18,2.68967e-18,1.85987e-13,7.59533e-11,7.61394e-11
59,1.2e-08,1.46527,531441,8e+08,4.2876e-19,4.28784e-19,4.29049e-19,1.12249e-16,68921,1e+08,2.73603e-18,2.73603e-18,2.73603e-18,1.92436e-13,7.59468e-11,7.61394e-11
